english	简体中文	pinyin
trade	贸易	mào yì
specialisation	专业化	zhuān yè huà
exports	出口	chū kǒu
imports	进口	jìn kǒu
free trade	自由贸易	zì yóu mào yì
domestic	国内的	guó nèi de
living standards	生活水平	shēng huó shuǐ píng
compete	竞争	jìng zhēng
dependent	依赖	yī lài
globalisation	全球化	quán qiú huà
multinational company	跨国公司	kuà guó gōng sī
host country	东道国	dōng dào guó
trade protection	贸易保护	mào yì bǎo hù
tariff	关税	guān shuì
quota	配额	pèi é
subsidy	补贴	bǔ tiē
embargo	禁运	jìn yùn
infant industry	幼稚产业	yòu zhì chǎn yè
dumping	倾销	qīng xiāo
exchange rate	汇率	huì lǜ
currency	货币	huò bì
floating exchange rate	浮动汇率	fú dòng huì lǜ
demand	需求	xū qiú
supply	供给	gōng jǐ
appreciation	升值	shēng zhí
depreciation	贬值	biǎn zhí
balance of payments	国际收支	guó jì shōu zhī
current account	经常账户	jīng cháng zhàng hù
trade in goods	货物贸易	huò wù mào yì
trade in services	服务贸易	fú wù mào yì
primary income	初次收入	chū cì shōu rù
secondary income	二次收入	èr cì shōu rù
current account deficit	逆差	nì chà
current account surplus	顺差	shùn chā
competitiveness	竞争力	jìng zhēng lì
