english	简体中文	pinyin
resources	资源	zī yuán
economic problem	经济问题	jīng jì wèn tí
finite	有限的	yǒu xiàn de
wants	欲望	yù wàng
scarce	稀缺	xī quē
scarcity	稀缺性	xī quē xìng
goods	物品	wù pǐn
services	服务	fú wù
consumers	消费者	xiāo fèi zhě
workers	工人	gōng rén
producers	生产者	shēng chǎn zhě
firms	企业	qǐ yè
governments	政府	zhèng fǔ
economic goods	经济物品	jīng jì wù pǐn
opportunity cost	机会成本	jī huì chéng běn
free goods	免费物品	miǎn fèi wù pǐn
factors of production	生产要素	shēng chǎn yào sù
land	土地	tǔ dì
labour	劳动	láo dòng
capital	资本	zī běn
enterprise	企业家才能	qǐ yè jiā cái néng
entrepreneur	企业家	qǐ yè jiā
reward	报酬	bào chóu
rent	地租	dì zū
wages	工资	gōng zī
interest	利息	lì xī
profit	利润	lì rùn
mobility	流动性	liú dòng xìng
alternative	替代选择	tì dài xuǎn zé
production possibility curve	生产可能性曲线	shēng chǎn kě néng xìng qū xiàn
unemployment	失业	shī yè
trade-off	取舍	qǔ shě
economic growth	经济增长	jīng jì zēng zhǎng
economic decline	经济衰退	jīng jì shuāi tuì
non-renewable resources	不可再生资源	bù kě zài shēng zī yuán
