english	简体中文	pinyin
barter	物物交换	wù wù jiāo huàn
money	货币	huò bì
medium of exchange	交换媒介	jiāo huàn méi jiè
store of value	价值储藏	jià zhí chǔ cáng
unit of account	记账单位	jì zhàng dān wèi
means of deferred payment	延期支付手段	yán qī zhī fù shǒu duàn
durable	耐用的	nài yòng de
portable	便于携带的	biàn yú xié dài de
divisible	可分割的	kě fēn gē de
central bank	中央银行	zhōng yāng yín háng
interest rate	利率	lì lǜ
commercial banks	商业银行	shāng yè yín háng
firms	企业	qǐ yè
household	家庭	jiā tíng
saving	储蓄	chǔ xù
borrowing	借贷	jiè dài
income	收入	shōu rù
confidence	信心	xìn xīn
occupation	职业	zhí yè
wage	工资	gōng zī
skill	技能	jì néng
qualifications	资格	zī gé
trade unions	工会	gōng huì
discrimination	歧视	qí shì
division of labour	劳动分工	láo dòng fēn gōng
specialisation	专业化	zhuān yè huà
capital	资本	zī běn
market	市场	shì chǎng
merger	合并	hé bìng
horizontal merger	横向合并	héng xiàng hé bìng
vertical merger	纵向合并	zòng xiàng hé bìng
conglomerate merger	混合合并	hùn hé hé bìng
business failure	企业倒闭	qǐ yè dǎo bì
demand	需求	xū qiú
labour-intensive	劳动密集型	láo dòng mì jí xíng
labour	劳动	láo dòng
capital-intensive	资本密集型	zī běn mì jí xíng
productivity	生产率	shēng chǎn lǜ
factors of production	生产要素	shēng chǎn yào sù
land	土地	tǔ dì
enterprise	企业家才能	qǐ yè jiā cái néng
economies of scale	规模经济	guī mó jīng jì
diseconomies of scale	规模不经济	guī mó bù jīng jì
cost	成本	chéng běn
fixed costs	固定成本	gù dìng chéng běn
variable costs	可变成本	kě biàn chéng běn
total cost	总成本	zǒng chéng běn
average cost	平均成本	píng jūn chéng běn
revenue	收益	shōu yì
total revenue	总收益	zǒng shōu yì
average revenue	平均收益	píng jūn shōu yì
profit	利润	lì rùn
objectives	目标	mù biāo
survival	生存	shēng cún
growth	增长	zēng zhǎng
competition	竞争	jìng zhēng
monopoly	垄断	lǒng duàn
barriers to entry	进入壁垒	jìn rù bì lěi
