english	简体中文	pinyin
wave	波	bō
displacement	位移	wèi yí
vector sum	矢量和	shǐ liàng hé
superposition	叠加	dié jiā
amplitude	振幅	zhèn fú
in phase	同相	tóng xiāng
crest	波峰	bō fēng
constructive interference	相长干涉	xiāng zhǎng gān shè
trough	波谷	bō gǔ
phase difference	相位差	xiàng wèi chà
destructive interference	相消干涉	xiāng xiāo gān shè
intensity	强度	qiáng dù
progressive wave	行波	xíng bō
stationary wave	驻波	zhù bō
reflected	反射	fǎn shè
node	波节	bō jié
antinode	波腹	bō fù
antiphase	反相	fǎn xiāng
energy	能量	néng liàng
wavelength	波长	bō cháng
resonance tube	共鸣管	gòng míng guǎn
fundamental	基频	jī pín
diffraction	衍射	yǎn shè
obstacle	障碍物	zhàng ài wù
ripple tank	水波槽	shuǐ bō cáo
interference	干涉	gān shè
coherent	相干	xiāng gān
slit	狭缝	xiá fèng
double-slit	双缝	shuāng fèng
polarisation	偏振	piān zhèn
path difference	路程差	lù chéng chà
fringe spacing	条纹间距	tiáo wén jiān jù
fringe	条纹	tiáo wén
maximum	极大	jí dà
minimum	极小	jí xiǎo
diffraction grating	衍射光栅	yǎn shè guāng shān
normal	法线	fǎ xiàn
slit spacing	缝间距	fèng jiān jù
order	级次	jí cì
