english	简体中文	pinyin
photon	光子	guāng zi
quanta	量子	liàng zǐ
frequency	频率	pín lǜ
Planck constant	普朗克常量	pǔ lǎng kè cháng liàng
wavelength	波长	bō cháng
electronvolt	电子伏特	diàn zi fú tè
kinetic energy	动能	dòng néng
electron	电子	diàn zi
potential difference	电势差	diàn shì chà
momentum	动量	dòng liàng
photoelectron	光电子	guāng diàn zi
photoelectric effect	光电效应	guāng diàn xiào yìng
threshold frequency	极限频率	jí xiàn pín lǜ
work function	逸出功	yì chū gōng
interference	干涉	gān shè
diffraction grating	衍射光栅	yǎn shè guāng shān
diffraction	衍射	yǎn shè
wave–particle duality	波粒二象性	bō lì èr xiàng xìng
de Broglie wavelength	德布罗意波长	dé bù luó yì bō cháng
crystal lattice	晶格	jīng gé
electron diffraction	电子衍射	diàn zi yǎn shè
discrete	分立	fēn lì
energy level	能级	néng jí
ground state	基态	jī tài
excited state	激发态	jī fā tài
emission spectrum	发射光谱	fā shè guāng pǔ
transition	跃迁	yuè qiān
absorption spectrum	吸收光谱	xī shōu guāng pǔ
