english	简体中文	pinyin
simple harmonic motion	简谐运动	jiǎn xié yùn dòng
acceleration	加速度	jiā sù dù
equilibrium	平衡	píng héng
displacement	位移	wèi yí
angular frequency	角频率	jiǎo pín lǜ
spring	弹簧	tán huáng
pendulum	单摆	dān bǎi
capacitor	电容器	diàn róng qì
amplitude	振幅	zhèn fú
period	周期	zhōu qī
frequency	频率	pín lǜ
phase difference	相位差	xiàng wèi chà
velocity	速度	sù dù
kinetic energy	动能	dòng néng
damping	阻尼	zǔ ní
conservation of energy	能量守恒	néng liàng shǒu héng
friction	摩擦力	mó cā lì
drag	阻力	zǔ lì
air resistance	空气阻力	kōng qì zǔ lì
light damping	轻阻尼	qīng zǔ ní
critical damping	临界阻尼	lín jiè zǔ ní
galvanometer	检流计	jiǎn liú jì
voltmeter	电压表	diàn yā biǎo
heavy damping	过阻尼	guò zǔ ní
forced oscillation	受迫振动	shòu pò zhèn dòng
driving frequency	驱动频率	qū dòng pín lǜ
resonance curve	共振曲线	gòng zhèn qū xiàn
resonance	共振	gòng zhèn
natural frequency	固有频率	gù yǒu pín lǜ
