english	简体中文	pinyin
deformation	形变	xíng biàn
tensile	拉伸	lā shēn
extension	伸长量	shēn cháng liàng
compression	压缩	yā suō
load	负载	fù zài
Hooke's law	胡克定律	hú kè dìng lǜ
spring constant	劲度系数	jìn dù xì shù
limit of proportionality	比例极限	bǐ lì jí xiàn
elastic	弹性	tán xìng
plastic	塑性	sù xìng
series	串联	chuàn lián
parallel	并联	bìng lián
stress	应力	yīng lì
cross-sectional area	横截面积	héng jié miàn jī
strain	应变	yìng biàn
Young modulus	杨氏模量	yáng shì mó liàng
pulley	滑轮	huá lún
diameter	直径	zhí jìng
micrometer	螺旋测微器	luó xuán cè wēi qì
random error	随机误差	suí jī wù chā
elastic limit	弹性极限	tán xìng jí xiàn
thermal energy	热能	rè néng
elastic potential energy	弹性势能	tán xìng shì néng
trapezia	梯形	tī xíng
kinetic energy	动能	dòng néng
