english	简体中文	pinyin
alpha particle	α粒子	α lì zi
deflection	偏转	piān zhuǎn
nucleus	原子核	yuán zǐ hé
proton	质子	zhì zi
neutron	中子	zhōng zi
electron	电子	diàn zi
nuclide	核素	hé sù
proton number	质子数	zhì zi shù
nucleon number	核子数	hé zǐ shù
nucleon	核子	hé zǐ
isotope	同位素	tóng wèi sù
conservation of charge	电荷守恒	diàn hè shǒu héng
unified atomic mass unit	统一原子质量单位	tǒng yī yuán zi zhì liàng dān wèi
radiation	辐射	fú shè
radioactive	放射性	fàng shè xìng
ionising	电离	diàn lí
discrete	分立	fēn lì
beta particle	β粒子	β lì zi
positron	正电子	zhèng diàn zi
continuous	连续	lián xù
photon	光子	guāng zi
electromagnetic spectrum	电磁波谱	diàn cí bō pǔ
attenuated	衰减	shuāi jiǎn
gamma ray	γ射线	γ shè xiàn
daughter nucleus	子核	zi hé
excited state	激发态	jī fā tài
antiparticle	反粒子	fǎn lì zi
antineutrino	反中微子	fǎn zhōng wēi zi
neutrino	中微子	zhōng wēi zi
momentum	动量	dòng liàng
energy	能量	néng liàng
fundamental	基本粒子	jī běn lì zi
quark	夸克	kuā kè
flavours	味	wèi
antiquark	反夸克	fǎn kuā kè
hadrons	强子	qiáng zi
baryons	重子	zhòng zǐ
mesons	介子	jiè zi
leptons	轻子	qīng zi
