english	简体中文	pinyin
mass-energy equivalence	质能等价	zhì néng děng jià
energy	能量	néng liàng
nuclear reaction	核反应	hé fǎn yìng
nucleon number	核子数	hé zǐ shù
conservation of charge	电荷守恒	diàn hè shǒu héng
nucleus	原子核	yuán zǐ hé
proton	质子	zhì zi
neutron	中子	zhōng zi
mass defect	质量亏损	zhì liàng kuī sǔn
binding energy	结合能	jié hé néng
binding energy per nucleon	比结合能	bǐ jié hé néng
nuclear fusion	核聚变	hé jù biàn
kinetic energy	动能	dòng néng
electrostatic	静电	jìng diàn
strong nuclear force	强核力	qiáng hé lì
nuclear fission	核裂变	hé liè biàn
chain reaction	链式反应	liàn shì fǎn yìng
critical mass	临界质量	lín jiè zhì liàng
spontaneous	自发	zì fā
random	随机	suí jī
Geiger counter	盖革计数器	gài gé jì shù qì
radionuclide	放射性核素	fàng shè xìng hé sù
activity	活度	huó dù
becquerel	贝克勒尔	bèi kè lēi ěr
decay constant	衰变常数	shuāi biàn cháng shù
exponential decay	指数衰减	zhǐ shù shuāi jiǎn
count rate	计数率	jì shù lǜ
half-life	半衰期	bàn shuāi qī
