english	简体中文	pinyin
magnetic field	磁场	cí chǎng
current	电流	diàn liú
force	力	lì
permanent magnet	永磁体	yǒng cí tǐ
field line	场线	chǎng xiàn
bar magnet	条形磁铁	tiáo xíng cí tiě
right-hand grip rule	右手定则	yòu shǒu dìng zé
solenoid	螺线管	luó xiàn guǎn
iron core	铁芯	tiě xīn
electromagnet	电磁铁	diàn cí tiě
transformer	变压器	biàn yā qì
magnetic flux density	磁通密度	cí tōng mì dù
tesla	特斯拉	tè sī lā
Fleming's left-hand rule	弗莱明左手定则	fú lái míng zuǒ shǒu dìng zé
velocity	速度	sù dù
uniform field	匀强场	yún qiáng chǎng
kinetic energy	动能	dòng néng
centripetal force	向心力	xiàng xīn lì
momentum	动量	dòng liàng
helix	螺旋	luó xuán
Hall voltage	霍尔电压	huò ěr diàn yā
Hall effect	霍尔效应	huò ěr xiào yìng
drift velocity	漂移速度	piāo yí sù dù
electric field	电场	diàn chǎng
Hall probe	霍尔探头	huò ěr tàn tóu
semiconductor	半导体	bàn dǎo tǐ
velocity selector	速度选择器	sù dù xuǎn zé qì
magnetic flux	磁通量	cí tōng liàng
weber	韦伯	wéi bó
coil	线圈	xiàn quān
flux linkage	磁链	cí liàn
electromotive force	电动势	diàn dòng shì
electromagnetic induction	电磁感应	diàn cí gǎn yìng
Faraday's law	法拉第定律	fǎ lā dì dìng lǜ
Lenz's law	楞次定律	léng cì dìng lǜ
conservation of energy	能量守恒	néng liàng shǒu héng
galvanometer	检流计	jiǎn liú jì
eddy currents	涡流	wō liú
