english	简体中文	pinyin
electric field	电场	diàn chǎng
force	力	lì
electric field strength	电场强度	diàn chǎng qiáng dù
test charge	检验电荷	jiǎn yàn diàn hè
vector	矢量	shǐ liàng
field line	场线	chǎng xiàn
point charge	点电荷	diǎn diàn hè
dipole	偶极子	ǒu jí zi
uniform field	匀强场	yún qiáng chǎng
potential difference	电势差	diàn shì chà
kinetic energy	动能	dòng néng
parabolic	抛物线	pāo wù xiàn
projectile	抛体	pāo tǐ
cathode-ray tube	阴极射线管	yīn jí shè xiàn guǎn
Coulomb's law	库仑定律	kù lún dìng lǜ
permittivity of free space	真空电容率	zhēn kōng diàn róng lǜ
conductor	导体	dǎo tǐ
equipotential	等势面	děng shì miàn
gravitational field	重力场	zhòng lì chǎng
vector sum	矢量和	shǐ liàng hé
electric potential	电势	diàn shì
infinity	无穷远	wú qióng yuǎn
scalar	标量	biāo liàng
potential gradient	电势梯度	diàn shì tī dù
electric potential energy	电势能	diàn shì néng
bound	束缚	shù fù
electron	电子	diàn zi
nucleus	原子核	yuán zǐ hé
centripetal force	向心力	xiàng xīn lì
gravitational potential	引力势	yǐn lì shì
