english	简体中文	pinyin
gravitational field	重力场	zhòng lì chǎng
mass	质量	zhì liàng
force	力	lì
gravitational field strength	重力场强度	zhòng lì chǎng qiáng dù
test mass	检验质量	jiǎn yàn zhì liàng
vector	矢量	shǐ liàng
field line	场线	chǎng xiàn
point mass	质点	zhì diǎn
radial	径向	jìng xiàng
uniform field	匀强场	yún qiáng chǎng
Newton's law of gravitation	万有引力定律	wàn yǒu yǐn lì dìng lǜ
universal gravitational constant	万有引力常量	wàn yǒu yǐn lì cháng liàng
satellite	卫星	wèi xīng
orbit	轨道	guǐ dào
centripetal force	向心力	xiàng xīn lì
period	周期	zhōu qī
Kepler's third law	开普勒第三定律	kāi pǔ lēi dì sān dìng lǜ
geostationary	地球同步	dì qiú tóng bù
equator	赤道	chì dào
angular speed	角速度	jiǎo sù dù
gravitational potential	引力势	yǐn lì shì
infinity	无穷远	wú qióng yuǎn
scalar	标量	biāo liàng
gravitational potential energy	重力势能	zhòng lì shì néng
kinetic energy	动能	dòng néng
escape velocity	逃逸速度	táo yì sù dù
