english	简体中文	pinyin
work	功	gōng
displacement	位移	wèi yí
component	分量	fèn liàng
scalar	标量	biāo liàng
energy	能量	néng liàng
normal contact force	支持力	zhī chí lì
friction	摩擦力	mó cā lì
horizontal	水平	shuǐ píng
closed system	封闭系统	fēng bì xì tǒng
conservation of energy	能量守恒	néng liàng shǒu héng
elastic potential energy	弹性势能	tán xìng shì néng
electrical energy	电能	diàn néng
chemical energy	化学能	huà xué néng
frictionless	无摩擦	wú mó cā
ramp	斜坡	xié pō
gravitational potential energy	重力势能	zhòng lì shì néng
kinetic energy	动能	dòng néng
thermal energy	热能	rè néng
efficiency	效率	xiào lǜ
voltage	电压	diàn yā
current	电流	diàn liú
tension	张力	zhāng lì
power	功率	gōng lǜ
velocity	速度	sù dù
drag	阻力	zǔ lì
weight	重力	zhòng lì
mass	质量	zhì liàng
momentum	动量	dòng liàng
spring	弹簧	tán huáng
compression	压缩	yā suō
spring constant	劲度系数	jìn dù xì shù
projectile	抛体	pāo tǐ
