english	简体中文	pinyin
kinematics	运动学	yùn dòng xué
distance	距离	jù lí
scalar	标量	biāo liàng
displacement	位移	wèi yí
vector	矢量	shǐ liàng
speed	速率	sù lǜ
velocity	速度	sù dù
acceleration	加速度	jiā sù dù
deceleration	减速度	jiǎn sù dù
gradient	斜率	xié lǜ
tangent	切线	qiè xiàn
uniform acceleration	匀加速	yún jiā sù
trapezium	梯形	tī xíng
gravity	重力	zhòng lì
air resistance	空气阻力	kōng qì zǔ lì
free fall	自由落体	zì yóu luò tǐ
symmetric	对称	duì chèn
random error	随机误差	suí jī wù chā
light gate	光电门	guāng diàn mén
reaction-time	反应时间	fǎn yìng shí jiān
horizontal	水平	shuǐ píng
vertical	竖直	shù zhí
range	射程	shè chéng
projectile	抛体	pāo tǐ
component	分量	fèn liàng
energy	能量	néng liàng
