english	简体中文	pinyin
internal energy	内能	nèi néng
kinetic energy	动能	dòng néng
molecule	分子	fèn zǐ
translational	平动	píng dòng
rotational	转动	zhuǎn dòng
vibrational	振动	zhèn dòng
ideal gas	理想气体	lǐ xiǎng qì tǐ
intermolecular	分子间	fèn zǐ jiān
temperature	温度	wēn dù
pressure	压强	yā qiáng
volume	体积	tǐ jī
amount of substance	物质的量	wù zhì dì liàng
thermodynamic temperature	热力学温度	rè lì xué wēn dù
phase change	相变	xiāng biàn
first law of thermodynamics	热力学第一定律	rè lì xué dì yí dìng lǜ
conservation of energy	能量守恒	néng liàng shǒu héng
isothermal	等温	děng wēn
adiabatic	绝热	jué rè
piston	活塞	huó sāi
heat capacity	热容	rè róng
monatomic	单原子	dān yuán zi
latent heat	潜热	qián rè
