english	简体中文	pinyin
alternating current	交流电	jiāo liú diàn
voltage	电压	diàn yā
current	电流	diàn liú
period	周期	zhōu qī
frequency	频率	pín lǜ
angular frequency	角频率	jiǎo pín lǜ
peak value	峰值	fēng zhí
peak-to-peak value	峰峰值	fēng fēng zhí
cathode-ray oscilloscope	示波器	shì bō qì
time-base	时基	shí jī
power	功率	gōng lǜ
resistance	电阻	diàn zǔ
root-mean-square	均方根	jūn fāng gēn
rectification	整流	zhěng liú
diode	二极管	èr jí guǎn
reverse-biased	反向偏置	fǎn xiàng piān zhì
half-wave rectification	半波整流	bàn bō zhěng liú
bridge rectifier	桥式整流器	qiáo shì zhěng liú qì
full-wave rectification	全波整流	quán bō zhěng liú
capacitor	电容器	diàn róng qì
time constant	时间常数	shí jiān cháng shù
ripple	纹波	wén bō
smoothing	平滑	píng huá
