english	简体中文	pinyin
heat	热量	rè liàng
temperature	温度	wēn dù
thermal equilibrium	热平衡	rè píng héng
thermal energy	热能	rè néng
thermometer	温度计	wēn dù jì
capillary	毛细管	máo xì guǎn
resistance	电阻	diàn zǔ
thermocouple	热电偶	rè diàn ǒu
electromotive force	电动势	diàn dòng shì
calibration	校准	jiào zhǔn
thermodynamic temperature	热力学温度	rè lì xué wēn dù
absolute temperature	绝对温度	jué duì wēn dù
kelvin	开尔文	kāi ěr wén
absolute zero	绝对零度	jué duì líng dù
internal energy	内能	nèi néng
Celsius	摄氏度	shè shì dù
specific heat capacity	比热容	bǐ rè róng
energy	能量	néng liàng
power	功率	gōng lǜ
mass	质量	zhì liàng
insulation	隔热	gé rè
latent heat	潜热	qián rè
specific latent heat	比潜热	bǐ qián rè
fusion	熔化	róng huà
vaporisation	汽化	qì huà
intermolecular	分子间	fèn zǐ jiān
volume	体积	tǐ jī
atmospheric pressure	大气压强	dà qì yā qiáng
phase change	相变	xiāng biàn
