english	简体中文	pinyin
electric current	电流	diàn liú
charge carrier	载流子	zài liú zi
electron	电子	diàn zi
electrolyte	电解质	diàn jiě zhì
ion	离子	lí zi
semiconductor	半导体	bàn dǎo tǐ
hole	空穴	kōng xué
conventional current	常规电流	cháng guī diàn liú
quantised	量子化	liàng zǐ huà
elementary charge	基本电荷	jī běn diàn hè
coulomb	库仑	kù lún
number density	数密度	shù mì dù
drift velocity	漂移速度	piāo yí sù dù
series	串联	chuàn lián
potential difference	电势差	diàn shì chà
energy	能量	néng liàng
volt	伏特	fú tè
electromotive force	电动势	diàn dòng shì
power	功率	gōng lǜ
parallel	并联	bìng lián
voltage	电压	diàn yā
resistance	电阻	diàn zǔ
ohm	欧姆	ōu mǔ
Ohm's law	欧姆定律	ōu mǔ dìng lǜ
filament lamp	灯丝灯泡	dēng sī dēng pào
diode	二极管	èr jí guǎn
resistivity	电阻率	diàn zǔ lǜ
insulator	绝缘体	jué yuán tǐ
lattice vibration	晶格振动	jīng gé zhèn dòng
scatters	散射	sǎn shè
light-dependent resistor	光敏电阻	guāng mǐn diàn zǔ
light intensity	光强	guāng qiáng
thermistor	热敏电阻	rè mǐn diàn zǔ
negative temperature coefficient	负温度系数	fù wēn dù xì shù
potential divider	分压器	fēn yā qì
