english	简体中文	pinyin
weight	重力	zhòng lì
centre of gravity	重心	zhòng xīn
centre of mass	质心	zhì xīn
free-body diagram	受力图	shòu lì tú
moment	力矩	lì jǔ
force	力	lì
perpendicular distance	垂直距离	chuí zhí jù lí
line of action	作用线	zuò yòng xiàn
lever arm	力臂	lì bì
pivot	支点	zhī diǎn
perpendicular	垂直	chuí zhí
clockwise	顺时针	shùn shí zhēn
anticlockwise	逆时针	nì shí zhēn
couple	力偶	lì ǒu
torque	力偶矩	lì ǒu jǔ
translation	平动	píng dòng
equilibrium	平衡	píng héng
resultant force	合力	hé lì
angular acceleration	角加速度	jiǎo jiā sù dù
principle of moments	力矩原理	lì jǔ yuán lǐ
vector triangle	矢量三角形	shǐ liàng sān jiǎo xíng
component	分量	fèn liàng
sine rule	正弦定理	zhèng xián dìng lǐ
cosine rule	余弦定理	yú xián dìng lǐ
horizontal	水平	shuǐ píng
vertical	竖直	shù zhí
density	密度	mì dù
scalar	标量	biāo liàng
pressure	压强	yā qiáng
fluid	流体	liú tǐ
cross-sectional area	横截面积	héng jié miàn jī
hydrostatic pressure	流体静压强	liú tǐ jìng yā qiáng
depth	深度	shēn dù
atmospheric pressure	大气压强	dà qì yā qiáng
submerged	浸没	jìn mò
upthrust	浮力	fú lì
displaced	排开	pái kāi
Archimedes' principle	阿基米德原理	ā jī mǐ dé yuán lǐ
floating	漂浮	piāo fú
tension	张力	zhāng lì
newton meter	弹簧测力计	tán huáng cè lì jì
incompressible	不可压缩	bù kě yā suō
