english	简体中文	pinyin
radian	弧度	hú dù
arc	弧	hú
angular displacement	角位移	jiǎo wèi yí
angular speed	角速度	jiǎo sù dù
revolution	圈	quān
period	周期	zhōu qī
frequency	频率	pín lǜ
circumference	周长	zhōu cháng
tangential	切向	qiè xiàng
velocity	速度	sù dù
acceleration	加速度	jiā sù dù
centripetal acceleration	向心加速度	xiàng xīn jiā sù dù
perpendicular	垂直	chuí zhí
force	力	lì
centripetal force	向心力	xiàng xīn lì
tension	张力	zhāng lì
friction	摩擦力	mó cā lì
banked	倾斜	qīng xié
normal contact force	支持力	zhī chí lì
satellite	卫星	wèi xīng
orbit	轨道	guǐ dào
gravitational attraction	引力	yǐn lì
electron	电子	diàn zi
electrostatic	静电	jìng diàn
nucleus	原子核	yuán zǐ hé
weight	重力	zhòng lì
magnetic field	磁场	cí chǎng
radial	径向	jìng xiàng
