english	简体中文	pinyin
piezo-electric	压电	yā diàn
electromotive force	电动势	diàn dòng shì
transducer	换能器	huàn néng qì
ultrasound	超声波	chāo shēng bō
longitudinal	纵波	zòng bō
pulse-echo	脉冲回波	mài chōng huí bō
coupling gel	耦合剂	ǒu hé jì
specific acoustic impedance	声阻抗	shēng zǔ kàng
density	密度	mì dù
intensity reflection coefficient	强度反射系数	qiáng dù fǎn shè xì shù
attenuation coefficient	衰减系数	shuāi jiǎn xì shù
X-ray tube	X射线管	X shè xiàn guǎn
cathode	阴极	yīn jí
thermionic emission	热电子发射	rè diàn zi fā shè
vacuum	真空	zhēn kōng
target	靶	bǎ
anode	阳极	yáng jí
tungsten	钨	wū
kinetic energy	动能	dòng néng
photon	光子	guāng zi
Bremsstrahlung	轫致辐射	rèn zhì fú shè
characteristic	特征	tè zhēng
attenuate	衰减	shuāi jiǎn
contrast	对比度	duì bǐ dù
contrast medium	造影剂	zào yǐng jì
half-value thickness	半值厚度	bàn zhí hòu dù
computed tomography	计算机断层扫描	jì suàn jī duàn céng sǎo miáo
tracer	示踪剂	shì zōng jì
metabolism	代谢	dài xiè
positron emission tomography	正电子发射断层扫描	zhèng diàn zi fā shè duàn céng sǎo miáo
positron	正电子	zhèng diàn zi
antiparticle	反粒子	fǎn lì zi
annihilate	湮灭	yān miè
electron	电子	diàn zi
momentum	动量	dòng liàng
energy	能量	néng liàng
