english	简体中文	pinyin
external influences	外部影响	wài bù yǐng xiǎng
business cycle	经济周期	jīng jì zhōu qī
growth	增长	zēng zhǎng
boom	繁荣	fán róng
recession	衰退	shuāi tuì
slump	萧条	xiāo tiáo
unemployment	失业	shī yè
recovery	复苏	fù sū
taxation	税收	shuì shōu
interest rates	利率	lì lǜ
inflation	通货膨胀	tōng huò péng zhàng
exchange rates	汇率	huì lǜ
external costs	外部成本	wài bù chéng běn
pollution	污染	wū rǎn
external benefits	外部收益	wài bù shōu yì
sustainable development	可持续发展	kě chí xù fā zhǎn
environment	环境	huán jìng
pressure group	压力团体	yā lì tuán tǐ
ethical behaviour	道德行为	dào dé xíng wéi
conflict	冲突	chōng tū
globalisation	全球化	quán qiú huà
tariffs	关税	guān shuì
multinational company	跨国公司	kuà guó gōng sī
import	进口	jìn kǒu
export	出口	chū kǒu
