english	简体中文	pinyin
exothermic reaction	放热反应	fàng rè fǎn yìng
thermal energy	热能	rè néng
surroundings	环境	huán jìng
endothermic reaction	吸热反应	xī rè fǎn yìng
combustion	燃烧	rán shāo
neutralisation	中和	zhōng hé
decomposition	分解	fēn jiě
enthalpy change	焓变	hán biàn
activation energy	活化能	huó huà néng
colliding	碰撞	pèng zhuàng
particles	粒子	lì zi
reaction pathway diagram	反应进程图	fǎn yìng jìn chéng tú
reactants	反应物	fǎn yìng wù
products	生成物	shēng chéng wù
bond breaking	断键	duàn jiàn
bond making	成键	chéng jiàn
bond energy	键能	jiàn néng
