english	简体中文	pinyin
electrolysis	电解	diàn jiě
decomposition	分解	fēn jiě
ionic compound	离子化合物	lí zi huà hé wù
molten	熔融	róng róng
aqueous	水溶液	shuǐ róng yè
electric current	电流	diàn liú
ions	离子	lí zi
electrolytic cell	电解池	diàn jiě chí
electrodes	电极	diàn jí
electrolyte	电解质	diàn jiě zhì
anode	阳极	yáng jí
cathode	阴极	yīn jí
inert	惰性	duò xìng
platinum	铂	bó
graphite	石墨	shí mò
metals	金属	jīn shǔ
hydrogen	氢气	qīng qì
non-metals	非金属	fēi jīn shǔ
dilute	稀	xī
concentrated	浓	nóng
lead	铅	qiān
bromine	溴	xiù
chlorine	氯气	lǜ qì
sulfuric acid	硫酸	liú suān
oxygen	氧气	yǎng qì
electrons	电子	diàn zi
external circuit	外电路	wài diàn lù
reduction	还原	huán yuán
oxidation	氧化	yǎng huà
half-equation	半反应式	bàn fǎn yìng shì
copper	铜	tóng
electroplating	电镀	diàn dù
corrosion	腐蚀	fǔ shí
fuel cell	燃料电池	rán liào diàn chí
pollutants	污染物	wū rǎn wù
