english	简体中文	pinyin
anhydrous	无水	wú shuǐ
melting point	熔点	róng diǎn
boiling point	沸点	fèi diǎn
distilled water	蒸馏水	zhēng liú shuǐ
impurities	杂质	zá zhì
oxygen	氧气	yǎng qì
sewage	污水	wū shuǐ
microbes	微生物	wēi shēng wù
nitrates	硝酸盐	xiāo suān yán
phosphates	磷酸盐	lín suān yán
aquatic life	水生生物	shuǐ shēng shēng wù
minerals	矿物质	kuàng wù zhì
toxic	有毒	yǒu dú
deoxygenation	缺氧	quē yǎng
sedimentation	沉降	chén jiàng
filtration	过滤	guò lǜ
carbon	碳	tàn
chlorination	氯消毒	lǜ xiāo dú
fertilisers	肥料	féi liào
nitrogen	氮气	dàn qì
phosphorus	磷	lín
potassium	钾	jiǎ
noble gases	稀有气体	xī yǒu qì tǐ
complete combustion	完全燃烧	wán quán rán shāo
carbon monoxide	一氧化碳	yī yǎng huà tàn
particulates	颗粒物	kē lì wù
incomplete combustion	不完全燃烧	bù wán quán rán shāo
methane	甲烷	jiǎ wán
oxides of nitrogen	氮氧化物	dàn yǎng huà wù
fossil fuels	化石燃料	huà shí rán liào
sulfur	硫	liú
carbon dioxide	二氧化碳	èr yǎng huà tàn
greenhouse gases	温室气体	wēn shì qì tǐ
global warming	全球变暖	quán qiú biàn nuǎn
climate change	气候变化	qì hòu biàn huà
respiratory	呼吸	hū xī
cancer	癌症	ái zhèng
acid rain	酸雨	suān yǔ
photochemical smog	光化学烟雾	guāng huà xué yān wù
renewable energy	可再生能源	kě zài shēng néng yuán
catalytic converters	催化转化器	cuī huà zhuǎn huà qì
flue gas desulfurisation	烟气脱硫	yān qì tuō liú
calcium oxide	氧化钙	yǎng huà gài
thermal energy	热能	rè néng
photosynthesis	光合作用	guāng hé zuò yòng
chlorophyll	叶绿素	yè lǜ sù
glucose	葡萄糖	pú táo táng
