english	简体中文	pinyin
metals	金属	jīn shǔ
non-metals	非金属	fēi jīn shǔ
thermal conductivity	导热性	dǎo rè xìng
electrical conductivity	导电性	dǎo diàn xìng
malleability	展性	zhǎn xìng
ductility	延性	yán xìng
brittle	易碎	yì suì
melting point	熔点	róng diǎn
boiling point	沸点	fèi diǎn
acids	酸	suān
salt	盐	yán
hydrogen	氢气	qīng qì
steam	蒸汽	zhēng qì
oxygen	氧气	yǎng qì
oxide	氧化物	yǎng huà wù
aluminium	铝	lǚ
density	密度	mì dù
corrosion	腐蚀	fǔ shí
copper	铜	tóng
alloy	合金	hé jīn
mixture	混合物	hùn hé wù
brass	黄铜	huáng tóng
zinc	锌	xīn
stainless steel	不锈钢	bù xiù gāng
iron	铁	tiě
chromium	铬	gè
nickel	镍	niè
carbon	碳	tàn
atoms	原子	yuán zi
layers	层	céng
reactivity series	金属活动性顺序	jīn shǔ huó dòng xìng shùn xù
potassium	钾	jiǎ
sodium	钠	nà
calcium	钙	gài
magnesium	镁	měi
ions	离子	lí zi
displacement reaction	置换反应	zhì huàn fǎn yìng
oxide layer	氧化层	yǎng huà céng
rusting	生锈	shēng xiù
rust	铁锈	tiě xiù
barrier methods	隔离法	gé lí fǎ
galvanising	镀锌	dù xīn
sacrificial protection	牺牲保护	xī shēng bǎo hù
electrons	电子	diàn zi
ore	矿石	kuàng shí
electrolysis	电解	diàn jiě
hematite	赤铁矿	chì tiě kuàng
blast furnace	高炉	gāo lú
carbon dioxide	二氧化碳	èr yǎng huà tàn
carbon monoxide	一氧化碳	yī yǎng huà tàn
reduction	还原	huán yuán
limestone	石灰石	shí huī shí
calcium oxide	氧化钙	yǎng huà gài
slag	炉渣	lú zhā
bauxite	铝土矿	lǚ tǔ kuàng
cryolite	冰晶石	bīng jīng shí
cathode	阴极	yīn jí
anode	阳极	yáng jí
