english	简体中文	pinyin
molecular formula	分子式	fēn zǐ shì
displayed formula	结构式	jié gòu shì
structural formula	结构简式	jié gòu jiǎn shì
general formula	通式	tōng shì
homologous series	同系物	tóng xì wù
functional group	官能团	guān néng tuán
saturated	饱和	bǎo hé
unsaturated	不饱和	bù bǎo hé
structural isomers	同分异构体	tóng fēn yì gòu tǐ
fossil fuels	化石燃料	huà shí rán liào
coal	煤	méi
natural gas	天然气	tiān rán qì
petroleum	石油	shí yóu
methane	甲烷	jiǎ wán
hydrocarbon	碳氢化合物	tàn qīng huà hé wù
fractions	馏分	liú fèn
fractional distillation	分馏	fēn liú
fractionating column	分馏塔	fēn liú tǎ
chain length	链长	liàn zhǎng
volatility	挥发性	huī fā xìng
viscosity	黏度	nián dù
bitumen	沥青	lì qīng
alkanes	烷烃	wán tīng
combustion	燃烧	rán shāo
substitution reaction	取代反应	qǔ dài fǎn yìng
ultraviolet light	紫外线	zǐ wài xiàn
photochemical reaction	光化学反应	guāng huà xué fǎn yìng
activation energy	活化能	huó huà néng
alkenes	烯烃	xī tīng
cracking	裂化	liè huà
catalyst	催化剂	cuī huà jì
hydrogen	氢气	qīng qì
addition reactions	加成反应	jiā chéng fǎn yìng
bromine	溴	xiù
nickel	镍	niè
steam	蒸汽	zhēng qì
alcohols	醇	chún
ethanol	乙醇	yǐ chún
fermentation	发酵	fā jiào
ethene	乙烯	yǐ xī
yeast	酵母	jiào mǔ
glucose	葡萄糖	pú táo táng
solvent	溶剂	róng jì
carboxylic acids	羧酸	suō suān
ethanoic acid	乙酸	yǐ suān
metals	金属	jīn shǔ
bases	碱	jiǎn
salt	盐	yán
carbonates	碳酸盐	tàn suān yán
oxidation	氧化	yǎng huà
potassium manganate(VII)	高锰酸钾	gāo měng suān jiǎ
vinegar	醋	cù
ester	酯	zhǐ
polymer	聚合物	jù hé wù
monomers	单体	dān tǐ
addition polymerisation	加聚	jiā jù
repeat unit	重复单元	chóng fù dān yuán
condensation polymerisation	缩聚	suō jù
polyamides	聚酰胺	jù xiān àn
nylon	尼龙	ní lóng
polyesters	聚酯	jù zhǐ
plastics	塑料	sù liào
landfill	填埋	tián mái
proteins	蛋白质	dàn bái zhì
amino acid	氨基酸	ān jī suān
