english	简体中文	pinyin
Periodic Table	周期表	zhōu qī biǎo
elements	元素	yuán sù
proton number	质子数	zhì zi shù
atomic number	原子序数	yuán zi xù shù
periods	周期	zhōu qī
groups	族	zú
metals	金属	jīn shǔ
non-metals	非金属	fēi jīn shǔ
ions	离子	lí zi
electrons	电子	diàn zi
electronic configuration	电子排布	diàn zi pái bù
alkali metals	碱金属	jiǎn jīn shǔ
lithium	锂	lǐ
sodium	钠	nà
potassium	钾	jiǎ
soft	柔软	róu ruǎn
trends	趋势	qū shì
melting point	熔点	róng diǎn
density	密度	mì dù
reactivity	活泼性	huó pō xìng
halogens	卤素	lǔ sù
chlorine	氯气	lǜ qì
bromine	溴	xiù
iodine	碘	diǎn
diatomic	双原子	shuāng yuán zi
halide	卤化物	lǔ huà wù
displacement reaction	置换反应	zhì huàn fǎn yìng
transition elements	过渡元素	guò dù yuán sù
coloured	有色	yǒu sè
compounds	化合物	huà hé wù
variable	可变	kě biàn
oxidation numbers	氧化数	yǎng huà shù
iron	铁	tiě
noble gases	稀有气体	xī yǒu qì tǐ
unreactive	不活泼	bù huó pō
monatomic	单原子	dān yuán zi
