english	简体中文	pinyin
acid	酸	suān
metals	金属	jīn shǔ
salt	盐	yán
hydrogen	氢气	qīng qì
base	碱	jiǎn
neutralisation	中和	zhōng hé
carbonates	碳酸盐	tàn suān yán
carbon dioxide	二氧化碳	èr yǎng huà tàn
indicator	指示剂	zhǐ shì jì
litmus	石蕊	shí ruǐ
thymolphthalein	百里酚酞	bǎi lǐ fēn tài
methyl orange	甲基橙	jiǎ jī chéng
ions	离子	lí zi
oxides	氧化物	yǎng huà wù
hydroxides	氢氧化物	qīng yǎng huà wù
alkali	可溶性碱	kě róng xìng jiǎn
ammonium salts	铵盐	ǎn yán
proton	质子	zhì zi
strong acid	强酸	qiáng suān
dissociated	电离	diàn lí
hydrochloric acid	盐酸	yán suān
weak acid	弱酸	ruò suān
ethanoic acid	乙酸	yǐ suān
universal indicator	通用指示剂	tōng yòng zhǐ shì jì
acidic	酸性	suān xìng
neutral	中性	zhōng xìng
alkaline	碱性	jiǎn xìng
amphoteric	两性	liǎng xìng
soluble	可溶	kě róng
insoluble	不溶	bù róng
nitrates	硝酸盐	xiāo suān yán
chlorides	氯化物	lǜ huà wù
sulfates	硫酸盐	liú suān yán
titration	滴定	dī dìng
excess	过量	guò liàng
filter	过滤	guò lǜ
evaporate	蒸发	zhēng fā
crystallise	结晶	jié jīng
precipitation	沉淀	chén diàn
hydrated	水合	shuǐ hé
anhydrous	无水	wú shuǐ
water of crystallisation	结晶水	jié jīng shuǐ
