english	简体中文	pinyin
particles	粒子	lì zi
atoms	原子	yuán zi
molecules	分子	fèn zǐ
ions	离子	lí zi
kinetic particle theory	粒子动理论	lì zi dòng lǐ lùn
solid	固体	gù tǐ
liquid	液体	yè tǐ
gas	气体	qì tǐ
volume	体积	tǐ jī
compress	压缩	yā suō
density	密度	mì dù
mass	质量	zhì liàng
separation	间距	jiān jù
arrangement	排列	pái liè
motion	运动	yùn dòng
regular	规则	guī zé
vibrate	振动	zhèn dòng
forces of attraction	引力	yǐn lì
melting	熔化	róng huà
freezing	凝固	níng gù
evaporating	蒸发	zhēng fā
boiling	沸腾	fèi téng
condensing	凝结	níng jié
melting point	熔点	róng diǎn
boiling point	沸点	fèi diǎn
energy	能量	néng liàng
heating curve	加热曲线	jiā rè qū xiàn
cooling curve	冷却曲线	lěng què qū xiàn
thermal energy	热能	rè néng
pressure	压强	yā qiáng
kinetic energy	动能	dòng néng
collide	碰撞	pèng zhuàng
diffusion	扩散	kuò sàn
concentration	浓度	nóng dù
relative molecular mass	相对分子质量	xiāng duì fèn zǐ zhì liàng
rate	速率	sù lǜ
ammonia	氨气	ān qì
hydrogen chloride	氯化氢	lǜ huà qīng
ammonium chloride	氯化铵	lǜ huà ǎn
