english	简体中文	pinyin
physical change	物理变化	wù lǐ biàn huà
chemical change	化学变化	huà xué biàn huà
precipitate	沉淀	chén diàn
rate of reaction	反应速率	fǎn yìng sù lǜ
reactants	反应物	fǎn yìng wù
products	生成物	shēng chéng wù
collision theory	碰撞理论	pèng zhuàng lǐ lùn
particles	粒子	lì zi
collide	碰撞	pèng zhuàng
activation energy	活化能	huó huà néng
concentration	浓度	nóng dù
pressure	压强	yā qiáng
surface area	表面积	biǎo miàn jī
kinetic energy	动能	dòng néng
catalyst	催化剂	cuī huà jì
enzymes	酶	méi
syringe	注射器	zhù shè qì
reversible reaction	可逆反应	kě nì fǎn yìng
hydrated	水合	shuǐ hé
anhydrous	无水	wú shuǐ
closed system	密闭系统	mì bì xì tǒng
equilibrium	平衡	píng héng
forward reaction	正反应	zhèng fǎn yìng
reverse reaction	逆反应	nì fǎn yìng
position of equilibrium	平衡位置	píng héng wèi zhì
endothermic	吸热反应	xī rè fǎn yìng
exothermic	放热反应	fàng rè fǎn yìng
Haber process	哈伯法	hā bó fǎ
hydrogen	氢气	qīng qì
methane	甲烷	jiǎ wán
nitrogen	氮气	dàn qì
iron	铁	tiě
Contact process	接触法	jiē chù fǎ
sulfur	硫	liú
oxygen	氧气	yǎng qì
vanadium(V) oxide	五氧化二钒	wǔ yǎng huà èr fán
compromise	折中	zhé zhōng
oxidation	氧化	yǎng huà
reduction	还原	huán yuán
redox reaction	氧化还原反应	yǎng huà huán yuán fǎn yìng
electrons	电子	diàn zi
oxidation number	氧化数	yǎng huà shù
oxidising agent	氧化剂	yǎng huà jì
reducing agent	还原剂	huán yuán jì
potassium manganate(VII)	高锰酸钾	gāo měng suān jiǎ
potassium iodide	碘化钾	diǎn huà jiǎ
iodine	碘	diǎn
