english	简体中文	pinyin
states of matter	物态	wù tài
solid	固体	gù tǐ
liquid	液体	yè tǐ
gas	气体	qì tǐ
condensation	凝结	níng jié
solidification	凝固	níng gù
kinetic particle model	分子动理论	fèn zǐ dòng lǐ lùn
particle	粒子	lì zi
vibrate	振动	zhèn dòng
kinetic energy	动能	dòng néng
temperature	温度	wēn dù
absolute zero	绝对零度	jué duì líng dù
pressure	压强	yā qiáng
Brownian motion	布朗运动	bù lǎng yùn dòng
kelvin	开尔文	kāi ěr wén
thermal expansion	热膨胀	rè péng zhàng
internal energy	内能	nèi néng
specific heat capacity	比热容	bǐ rè róng
melting	熔化	róng huà
boiling	沸腾	fèi téng
evaporation	蒸发	zhēng fā
cools down	冷却	lěng què
transfer of thermal energy	热能传递	rè néng chuán dì
conduction	热传导	rè chuán dǎo
delocalised electrons	自由电子	zì yóu diàn zi
thermal conductor	热导体	rè dǎo tǐ
thermal insulator	热绝缘体	rè jué yuán tǐ
convection	对流	duì liú
thermal radiation	热辐射	rè fú shè
infrared	红外线	hóng wài xiàn
dull	暗淡	àn dàn
emitter	发射体	fā shè tǐ
absorber	吸收体	xī shōu tǐ
reflector	反射体	fǎn shè tǐ
