english	简体中文	pinyin
rotate	自转	zì zhuàn
axis	轴	zhóu
tilted	倾斜	qīng xié
Sun	太阳	tài yáng
orbit	轨道	guǐ dào
seasons	季节	jì jié
Moon	月球	yuè qiú
phases	月相	yuè xiàng
circumference	周长	zhōu cháng
orbital speed	轨道速率	guǐ dào sù lǜ
period	周期	zhōu qī
Solar System	太阳系	tài yáng xì
planet	行星	xíng xīng
rocky	岩石	yán shí
gas	气体	qì tǐ
dwarf planet	矮行星	ǎi xíng xīng
asteroid	小行星	xiǎo xíng xīng
satellite	卫星	wèi xīng
comet	彗星	huì xīng
gravity	引力	yǐn lì
gravitational field strength	重力场强度	zhòng lì chǎng qiáng dù
ellipse	椭圆	tuǒ yuán
conservation of energy	能量守恒	néng liàng shǒu héng
energy	能量	néng liàng
gravitational potential energy	重力势能	zhòng lì shì néng
kinetic energy	动能	dòng néng
dust	尘埃	chén āi
element	元素	yuán sù
accretion	吸积	xī jī
accretion disc	吸积盘	xī jī pán
star	恒星	héng xīng
hydrogen	氢	qīng
helium	氦	hài
ultraviolet	紫外线	zǐ wài xiàn
electromagnetic spectrum	电磁波谱	diàn cí bō pǔ
nuclear reaction	核反应	hé fǎn yìng
nuclear fusion	核聚变	hé jù biàn
galaxy	星系	xīng xì
Milky Way	银河系	yín hé xì
light-year	光年	guāng nián
diameter	直径	zhí jìng
Universe	宇宙	yǔ zhòu
interstellar cloud	星际云	xīng jì yún
protostar	原恒星	yuán héng xīng
stable	稳定	wěn dìng
fuel	燃料	rán liào
red giant	红巨星	hóng jù xīng
nebula	星云	xīng yún
white dwarf	白矮星	bái ǎi xīng
red supergiant	红超巨星	hóng chāo jù xīng
supernova	超新星	chāo xīn xīng
neutron star	中子星	zhōng zi xīng
black hole	黑洞	hēi dòng
receding	退行	tuì xíng
wavelength	波长	bō cháng
redshift	红移	hóng yí
expanding	膨胀	péng zhàng
Big Bang	大爆炸	dà bào zhà
microwave	微波	wēi bō
radiation	辐射	fú shè
cosmic microwave background radiation	宇宙微波背景辐射	yǔ zhòu wēi bō bèi jǐng fú shè
Hubble constant	哈勃常数	hā bó cháng shù
