english	简体中文	pinyin
automated system	自动化系统	zì dòng huà xì tǒng
environment	环境	huán jìng
human intervention	人工干预	rén gōng gān yù
central heating	中央供暖	zhōng yāng gōng nuǎn
chemical process	化学过程	huà xué guò chéng
greenhouse	温室	wēn shì
car park barrier	停车场道闸	tíng chē chǎng dào zhá
sensor	传感器	chuán gǎn qì
microprocessor	微处理器	wēi chǔ lǐ qì
actuator	执行器	zhí xíng qì
stored values	存储值	cún chǔ zhí
agriculture	农业	nóng yè
consistent	一致的	yí zhì de
robotics	机器人技术	jī qì rén jì shù
robots	机器人	jī qì rén
physical structure	物理结构	wù lǐ jié gòu
mechanical	机械的	jī xiè de
electrical components	电子元件	diàn zi yuán jiàn
programmable instructions	可编程指令	kě biān chéng zhǐ lìng
factory equipment	工厂设备	gōng chǎng shè bèi
domestic appliances	家用电器	jiā yòng diàn qì
vacuum cleaner	吸尘器	xī chén qì
lack of independent decision-making	缺乏独立决策	quē fá dú lì jué cè
artificial intelligence	人工智能	rén gōng zhì néng
simulation	模拟	mó nǐ
rules	规则	guī zé
reason	推理	tuī lǐ
draw conclusions	得出结论	dé chū jié lùn
approximate	近似的	jìn sì de
definite	确定的	què dìng de
learn	学习	xué xí
adapt	适应	shì yìng
expert systems	专家系统	zhuān jiā xì tǒng
natural language processing	自然语言处理	zì rán yǔ yán chǔ lǐ
self-driving cars	自动驾驶汽车	zì dòng jià shǐ qì chē
narrow AI	弱人工智能	ruò rén gōng zhì néng
general AI	通用人工智能	tōng yòng rén gōng zhì néng
strong AI	强人工智能	qiǎng rén gōng zhì néng
