english	简体中文	pinyin
database	数据库	shù jù kù
single-table database	单表数据库	dān biǎo shù jù kù
record	记录	jì lù
field	字段	zì duàn
data type	数据类型	shù jù lèi xíng
text/alphanumeric	文本	wén běn
character	字符	zì fú
Boolean	布尔值	bù ěr zhí
integer	整数	zhěng shù
real	实数	shí shù
date/time	日期时间	rì qī shí jiān
primary key	主键	zhǔ jiàn
unique	唯一的	wéi yī de
validation	验证	yàn zhèng
structured query language	结构化查询语言	jié gòu huà chá xún yǔ yán
query	查询	chá xún
condition	条件	tiáo jiàn
ascending	升序	shēng xù
descending	降序	jiàng xù
