english	简体中文	pinyin
internet	互联网	hù lián wǎng
infrastructure	基础设施	jī chǔ shè shī
world wide web	万维网	wàn wéi wǎng
websites	网站	wǎng zhàn
uniform resource locator	统一资源定位符	tǒng yī zī yuán dìng wèi fú
web browser	网页浏览器	wǎng yè liú lǎn qì
rendering	渲染	xuàn rǎn
hypertext markup language	超文本标记语言	chāo wén běn biāo jì yǔ yán
IP address	网际协议地址	wǎng jì xié yì dì zhǐ
domain name service	域名服务	yù míng fú wù
web server	网络服务器	wǎng luò fú wù qì
session	会话	huì huà
persistent	持久	chí jiǔ
user preferences	用户偏好	yòng hù piān hǎo
digital currency	数字货币	shù zì huò bì
electronic form	电子形式	diàn zi xíng shì
blockchain	区块链	qū kuài liàn
digital ledger	数字账本	shù zì zhàng běn
transaction	交易	jiāo yì
timestamp	时间戳	shí jiān chuō
hash value	哈希值	hā xī zhí
cyber security	网络安全	wǎng luò ān quán
brute force attack	暴力破解	bào lì pò jiě
data interception	数据拦截	shù jù lán jié
distributed denial of service	分布式拒绝服务	fēn bù shì jù jué fú wù
hacking	黑客攻击	hēi kè gōng jī
malware	恶意软件	è yì ruǎn jiàn
pharming	域名欺骗	yù míng qī piàn
phishing	网络钓鱼	wǎng luò diào yú
social engineering	社会工程	shè huì gōng chéng
virus	病毒	bìng dú
worm	蠕虫	rú chóng
Trojan horse	特洛伊木马	tè luò yī mù mǎ
spyware	间谍软件	jiàn dié ruǎn jiàn
adware	广告软件	guǎng gào ruǎn jiàn
ransomware	勒索软件	lè suǒ ruǎn jiàn
access levels	访问权限	fǎng wèn quán xiàn
anti-malware	反恶意软件	fǎn è yì ruǎn jiàn
anti-virus	杀毒软件	shā dú ruǎn jiàn
anti-spyware	反间谍软件	fǎn jiàn dié ruǎn jiàn
authentication	身份验证	shēn fèn yàn zhèng
biometrics	生物识别	shēng wù shí bié
password	密码	mì mǎ
two-step verification	两步验证	liǎng bù yàn zhèng
firewall	防火墙	fáng huǒ qiáng
privacy settings	隐私设置	yǐn sī shè zhì
proxy server	代理服务器	dài lǐ fú wù qì
