english	简体中文	pinyin
variable	变量	biàn liàng
constant	常量	cháng liàng
declare	声明	shēng míng
data type	数据类型	shù jù lèi xíng
integer	整数	zhěng shù
real	实数	shí shù
char	字符	zì fú
string	字符串	zì fú chuàn
Boolean	布尔值	bù ěr zhí
input	输入	shū rù
output	输出	shū chū
sequence	顺序	shùn xù
selection	选择	xuǎn zé
iteration	迭代	dié dài
loop	循环	xún huán
count-controlled loop	计数循环	jì shù xún huán
pre-condition loop	前测循环	qián cè xún huán
post-condition loop	后测循环	hòu cè xún huán
totalling	求和	qiú hé
counting	计数	jì shù
remainder	余数	yú shù
nested statement	嵌套语句	qiàn tào yǔ jù
substring	子串	zi chuàn
upper case	大写	dà xiě
lower case	小写	xiǎo xiě
length	长度	cháng dù
procedure	过程	guò chéng
function	函数	hán shù
parameter	参数	cān shù
local variable	局部变量	jú bù biàn liàng
global variable	全局变量	quán jú biàn liàng
library routine	库程序	kù chéng xù
maintainable	可维护的	kě wéi hù de
meaningful identifiers	有意义的标识符	yǒu yì yì de biāo shí fú
comments	注释	zhù shì
array	数组	shù zǔ
index	索引	suǒ yǐn
one-dimensional (1D) array	一维数组	yī wéi shù zǔ
two-dimensional (2D) array	二维数组	èr wéi shù zǔ
file	文件	wén jiàn
