english	简体中文	pinyin
alkane	烷烃	wán tīng
hydrogenation	氢化	qīng huà
alkene	烯烃	xī tīng
cracking	裂化	liè huà
combustion	燃烧	rán shāo
complete combustion	完全燃烧	wán quán rán shāo
incomplete combustion	不完全燃烧	bù wán quán rán shāo
carbon monoxide	一氧化碳	yī yǎng huà tàn
free-radical substitution	自由基取代	zì yóu jī qǔ dài
ultraviolet light	紫外线	zǐ wài xiàn
initiation	引发	yǐn fā
free radical	自由基	zì yóu jī
propagation	增长	zēng zhǎng
termination	终止	zhōng zhǐ
crude oil	原油	yuán yóu
fraction	馏分	liú fèn
polarity	极性	jí xìng
elimination	消去	xiāo qù
halogenoalkane	卤代烷	lǔ dài wán
dehydration	脱水	tuō shuǐ
alcohol	醇	chún
electrophilic addition	亲电加成	qīn diàn jiā chéng
steam	水蒸气	shuǐ zhēng qì
hydrogen halide	卤化氢	lǔ huà qīng
diol	二醇	èr chún
bromine water	溴水	xiù shuǐ
addition polymerisation	加成聚合	jiā chéng jù hé
polymer	聚合物	jù hé wù
carbocation	碳正离子	tàn zhèng lí zi
inductive effect	诱导效应	yòu dǎo xiào yìng
Markovnikov's rule	马氏规则	mǎ shì guī zé
