english	简体中文	pinyin
periodicity	周期性	zhōu qī xìng
period	周期	zhōu qī
atomic radius	原子半径	yuán zi bàn jìng
ionic radius	离子半径	lí zi bàn jìng
melting point	熔点	róng diǎn
electrical conductivity	导电性	dǎo diàn xìng
giant metallic	金属晶体	jīn shǔ jīng tǐ
giant molecular	原子晶体	yuán zi jīng tǐ
simple molecular	分子晶体	fēn zǐ jīng tǐ
oxidation number	氧化数	yǎng huà shù
valence shell	价层	jià céng
electron	电子	diàn zi
oxide	氧化物	yǎng huà wù
amphoteric	两性	liǎng xìng
hydroxide	氢氧化物	qīng yǎng huà wù
hydrolysis	水解	shuǐ jiě
electronegativity	电负性	diàn fù xìng
