english	简体中文	pinyin
enthalpy change	焓变	hán biàn
exothermic	放热	fàng rè
endothermic	吸热	xī rè
reaction pathway diagram	反应路径图	fǎn yìng lù jìng tú
activation energy	活化能	huó huà néng
standard conditions	标准条件	biāo zhǔn tiáo jiàn
enthalpy change of reaction	反应焓变	fǎn yìng hán biàn
enthalpy change of formation	生成焓变	shēng chéng hán biàn
enthalpy change of combustion	燃烧焓变	rán shāo hán biàn
enthalpy change of neutralisation	中和焓变	zhōng hé hán biàn
bond energy	键能	jiàn néng
specific heat capacity	比热容	bǐ rè róng
Hess's law	盖斯定律	gài sī dìng lǜ
energy cycle	能量循环	néng liàng xún huán
