english	简体中文	pinyin
amine	胺	àn
halogenoalkane	卤代烷	lǔ dài wán
reduction	还原	huán yuán
amide	酰胺	xiān àn
nitrile	腈	jīng
ammonia	氨	ān
condensation	缩合	suō hé
acyl chloride	酰氯	xiān lǜ
basicity	碱性	jiǎn xìng
phenylamine	苯胺	běn àn
delocalised	离域	lí yù
diazonium salt	重氮盐	zhòng dàn yán
phenol	苯酚	běn fēn
azo compound	偶氮化合物	ǒu dàn huà hé wù
dye	染料	rǎn liào
amino acid	氨基酸	ān jī suān
zwitterion	两性离子	liǎng xìng lí zi
isoelectric point	等电点	děng diàn diǎn
peptide bond	肽键	tài jiàn
dipeptide	二肽	èr tài
electrophoresis	电泳	diàn yǒng
