english	简体中文	pinyin
halogenoalkane	卤代烷	lǔ dài wán
free-radical substitution	自由基取代	zì yóu jī qǔ dài
electrophilic addition	亲电加成	qīn diàn jiā chéng
alcohol	醇	chún
primary	伯	bó
secondary	仲	zhòng
tertiary	叔	shū
nucleophilic substitution	亲核取代	qīn hé qǔ dài
nucleophile	亲核试剂	qīn hé shì jì
nitrile	腈	jīng
amine	胺	àn
silver nitrate	硝酸银	xiāo suān yín
precipitate	沉淀	chén diàn
elimination	消去	xiāo qù
alkene	烯烃	xī tīng
transition state	过渡态	guò dù tài
carbocation	碳正离子	tàn zhèng lí zi
inductive effect	诱导效应	yòu dǎo xiào yìng
bond energy	键能	jiàn néng
reactivity	反应活性	fǎn yìng huó xìng
