english	简体中文	pinyin
chromatography	色谱	sè pǔ
thin-layer chromatography	薄层色谱	báo céng sè pǔ
stationary phase	固定相	gù dìng xiāng
mobile phase	流动相	liú dòng xiāng
baseline	基线	jī xiàn
solvent front	溶剂前沿	róng jì qián yán
gas/liquid chromatography	气液色谱	qì yè sè pǔ
retention time	保留时间	bǎo liú shí jiān
NMR	核磁共振	hé cí gòng zhèn
chemical environment	化学环境	huà xué huán jìng
proton	质子	zhì zi
chemical shift	化学位移	huà xué wèi yí
splitting	裂分	liè fēn
singlet	单峰	dān fēng
doublet	双峰	shuāng fēng
triplet	三峰	sān fēng
quartet	四峰	sì fēng
multiplet	多重峰	duō zhòng fēng
tetramethylsilane	四甲基硅烷	sì jiǎ jī guī wán
deuterated solvent	氘代溶剂	dāo dài róng jì
