english	简体中文	pinyin
reversible reaction	可逆反应	kě nì fǎn yìng
forward reaction	正反应	zhèng fǎn yìng
reverse reaction	逆反应	nì fǎn yìng
closed system	封闭系统	fēng bì xì tǒng
dynamic equilibrium	动态平衡	dòng tài píng héng
Le Chatelier's principle	勒夏特列原理	lēi xià tè liè yuán lǐ
equilibrium	平衡	píng héng
catalyst	催化剂	cuī huà jì
equilibrium constant	平衡常数	píng héng cháng shù
partial pressure	分压	fēn yā
mole fraction	摩尔分数	mó ěr fēn shù
Haber process	哈伯法	hā bó fǎ
Contact process	接触法	jiē chù fǎ
proton	质子	zhì zi
acid	酸	suān
proton donor	质子供体	zhì zi gōng tǐ
base	碱	jiǎn
proton acceptor	质子受体	zhì zi shòu tǐ
strong acid	强酸	qiáng suān
strong base	强碱	qiáng jiǎn
dissociated	解离	jiě lí
weak acid	弱酸	ruò suān
weak base	弱碱	ruò jiǎn
universal indicator	通用指示剂	tōng yòng zhǐ shì jì
neutralisation	中和	zhōng hé
salt	盐	yán
titration	滴定	dī dìng
titration curve	滴定曲线	dī dìng qū xiàn
indicator	指示剂	zhǐ shì jì
