english	简体中文	pinyin
atom	原子	yuán zi
nucleus	原子核	yuán zǐ hé
proton	质子	zhì zi
neutron	中子	zhōng zi
electron	电子	diàn zi
shell	壳层	ké céng
relative charge	相对电荷	xiāng duì diàn hè
relative mass	相对质量	xiāng duì zhì liàng
neutral	中性	zhōng xìng
proton number	质子数	zhì zi shù
atomic number	原子序数	yuán zi xù shù
nucleon number	核子数	hé zǐ shù
mass number	质量数	zhì liàng shù
nucleon	核子	hé zǐ
ion	离子	lí zi
electric field	电场	diàn chǎng
deflection	偏转	piān zhuǎn
atomic radius	原子半径	yuán zi bàn jìng
ionic radius	离子半径	lí zi bàn jìng
period	周期	zhōu qī
nuclear charge	核电荷	hé diàn hè
shielding	屏蔽	píng bì
group	族	zú
cation	阳离子	yáng lí zi
anion	阴离子	yīn lí zi
repulsion	排斥	pái chì
isotope	同位素	tóng wèi sù
chemical properties	化学性质	huà xué xìng zhì
physical properties	物理性质	wù lǐ xìng zhì
density	密度	mì dù
principal quantum number	主量子数	zhǔ liàng zǐ shù
sub-shell	亚层	yà céng
orbital	轨道	guǐ dào
electronic configuration	电子排布	diàn zi pái bù
ground state	基态	jī tài
noble gas	稀有气体	xī yǒu qì tǐ
spin	自旋	zì xuán
sphere	球形	qiú xíng
free radical	自由基	zì yóu jī
unpaired electrons	未成对电子	wèi chéng duì diàn zi
first ionisation energy	第一电离能	dì yī diàn lí néng
successive ionisation energies	逐级电离能	zhú jí diàn lí néng
spin-pair repulsion	自旋成对排斥	zì xuán chéng duì pái chì
