english	简体中文	pinyin
functional group	官能团	guān néng tuán
amide	酰胺	xiān àn
aromatic	芳香	fāng xiāng
benzene	苯	běn
benzene ring	苯环	běn huán
electrophilic substitution	亲电取代	qīn diàn qǔ dài
addition–elimination	加成消去	jiā chéng xiāo qù
hybridisation	杂化	zá huà
sigma bond	σ键	σ jiàn
delocalised	离域	lí yù
pi bond	π键	π jiàn
enantiomers	对映体	duì yìng tǐ
plane polarised light	平面偏振光	píng miàn piān zhèn guāng
optically active	旋光活性	xuán guāng huó xìng
racemic mixture	外消旋混合物	wài xiāo xuán hùn hé wù
chirality	手性	shǒu xìng
chiral centre	手性中心	shǒu xìng zhōng xīn
chiral catalyst	手性催化剂	shǒu xìng cuī huà jì
