english	简体中文	pinyin
conjugate base	共轭碱	gòng è jiǎn
conjugate acid	共轭酸	gòng è suān
conjugate acid–base pair	共轭酸碱对	gòng è suān jiǎn duì
acid dissociation constant	酸解离常数	suān jiě lí cháng shù
ionic product of water	水的离子积	shuǐ de lí zi jī
strong acid	强酸	qiáng suān
strong alkali	强碱	qiáng jiǎn
weak acid	弱酸	ruò suān
buffer solution	缓冲溶液	huǎn chōng róng yè
solubility product	溶度积	róng dù jī
common ion effect	同离子效应	tóng lí zi xiào yìng
partition coefficient	分配系数	fēn pèi xì shù
solute	溶质	róng zhì
polarity	极性	jí xìng
solvent	溶剂	róng jì
