english	简体中文	pinyin
rate of reaction	反应速率	fǎn yìng sù lǜ
collide	碰撞	pèng zhuàng
collision frequency	碰撞频率	pèng zhuàng pín lǜ
effective collision	有效碰撞	yǒu xiào pèng zhuàng
non-effective collision	无效碰撞	wú xiào pèng zhuàng
activation energy	活化能	huó huà néng
Boltzmann distribution	玻尔兹曼分布	bō ěr zī màn fēn bù
catalyst	催化剂	cuī huà jì
catalysis	催化作用	cuī huà zuò yòng
reaction mechanism	反应机理	fǎn yìng jī lǐ
reaction pathway diagram	反应路径图	fǎn yìng lù jìng tú
homogeneous catalyst	均相催化剂	jūn xiāng cuī huà jì
heterogeneous catalyst	多相催化剂	duō xiāng cuī huà jì
