english	简体中文	pinyin
transition element	过渡元素	guò dù yuán sù
orbital	轨道	guǐ dào
oxidation state	氧化态	yǎng huà tài
catalyst	催化剂	cuī huà jì
complex ion	配离子	pèi lí zi
ligand	配体	pèi tǐ
dative covalent bond	配位键	pèi wèi jiàn
lone pair	孤对电子	gū duì diàn zi
monodentate	单齿	dān chǐ
bidentate	双齿	shuāng chǐ
polydentate	多齿	duō chǐ
complex	配合物	pèi hé wù
linear	直线形	zhí xiàn xíng
square planar	平面正方形	píng miàn zhèng fāng xíng
tetrahedral	四面体形	sì miàn tǐ xíng
octahedral	八面体形	bā miàn tǐ xíng
coordination number	配位数	pèi wèi shù
ligand exchange	配体交换	pèi tǐ jiāo huàn
degenerate	简并	jiǎn bìng
non-degenerate	非简并	fēi jiǎn bìng
complementary colour	互补色	hù bǔ sè
geometrical isomerism	几何异构	jǐ hé yì gòu
cis	顺式	shùn shì
trans	反式	fǎn shì
optical isomerism	旋光异构	xuán guāng yì gòu
stability constant	稳定常数	wěn dìng cháng shù
