english	简体中文	pinyin
collide	碰撞	pèng zhuàng
pressure	压强	yā qiáng
ideal gas	理想气体	lǐ xiǎng qì tǐ
intermolecular forces	分子间作用力	fèn zǐ jiàn zuò yòng lì
real gas	实际气体	shí jì qì tǐ
ideal gas equation	理想气体方程	lǐ xiǎng qì tǐ fāng chéng
kelvin	开尔文	kāi ěr wén
gas constant	气体常量	qì tǐ cháng liàng
molar mass	摩尔质量	mó ěr zhì liàng
crystalline solid	晶体	jīng tǐ
giant ionic	离子晶体	lí zi jīng tǐ
lattice	晶格	jīng gé
ion	离子	lí zi
simple molecular	分子晶体	fēn zǐ jīng tǐ
molecule	分子	fèn zǐ
fullerene	富勒烯	fù lēi xī
giant molecular	原子晶体	yuán zi jīng tǐ
covalent bonds	共价键	gòng jià jiàn
silicon(IV) oxide	二氧化硅	èr yǎng huà guī
graphite	石墨	shí mò
diamond	金刚石	jīn gāng shí
giant metallic	金属晶体	jīn shǔ jīng tǐ
delocalised electrons	离域电子	lí yù diàn zi
melting point	熔点	róng diǎn
boiling point	沸点	fèi diǎn
electrical conductivity	导电性	dǎo diàn xìng
solubility	溶解度	róng jiě dù
