english	简体中文	pinyin
electronegativity	电负性	diàn fù xìng
electron	电子	diàn zi
nuclear charge	核电荷	hé diàn hè
atomic radius	原子半径	yuán zi bàn jìng
shielding	屏蔽	píng bì
Pauling electronegativity	鲍林电负性	bào lín diàn fù xìng
ionic bonding	离子键	lí zi jiàn
electrostatic attraction	静电引力	jìng diàn yǐn lì
ion	离子	lí zi
cation	阳离子	yáng lí zi
anion	阴离子	yīn lí zi
lattice	晶格	jīng gé
metallic bonding	金属键	jīn shǔ jiàn
delocalised electrons	离域电子	lí yù diàn zi
covalent bonding	共价键	gòng jià jiàn
expand the octet	扩展八隅体	kuò zhǎn bā yú tǐ
coordinate bond	配位键	pèi wèi jiàn
orbital	轨道	guǐ dào
sigma bond	σ键	σ jiàn
overlap	重叠	chóng dié
pi bond	π键	π jiàn
hybridisation	杂化	zá huà
bond energy	键能	jiàn néng
bond length	键长	jiàn zhǎng
VSEPR theory	价层电子对互斥理论	jià céng diàn zi duì hù chì lǐ lùn
lone pair	孤对电子	gū duì diàn zi
bonding pair	成键电子对	chéng jiàn diàn zi duì
bond angle	键角	jiàn jiǎo
linear	直线形	zhí xiàn xíng
trigonal planar	平面三角形	píng miàn sān jiǎo xíng
tetrahedral	四面体形	sì miàn tǐ xíng
pyramidal	三角锥形	sān jiǎo zhuī xíng
bent	角形	jiǎo xíng
trigonal bipyramidal	三角双锥形	sān jiǎo shuāng zhuī xíng
octahedral	八面体形	bā miàn tǐ xíng
intermolecular forces	分子间作用力	fèn zǐ jiàn zuò yòng lì
molecule	分子	fèn zǐ
polarity	极性	jí xìng
dipole	偶极	ǒu jí
dipole moment	偶极矩	ǒu jí jǔ
van der Waals' forces	范德华力	fàn dé huá lì
London dispersion forces	伦敦色散力	lún dūn sè sàn lì
instantaneous dipole	瞬时偶极	shùn shí ǒu jí
induced dipole	诱导偶极	yòu dǎo ǒu jí
permanent dipole	永久偶极	yǒng jiǔ ǒu jí
hydrogen bonding	氢键	qīng jiàn
boiling point	沸点	fèi diǎn
surface tension	表面张力	biǎo miàn zhāng lì
dot-and-cross diagram	点叉图	diǎn chā tú
