english	简体中文	pinyin
atom	原子	yuán zi
unified atomic mass unit	统一原子质量单位	tǒng yī yuán zi zhì liàng dān wèi
relative atomic mass	相对原子质量	xiāng duì yuán zi zhì liàng
isotope	同位素	tóng wèi sù
relative isotopic mass	相对同位素质量	xiāng duì tóng wèi sù zhì liàng
relative molecular mass	相对分子质量	xiāng duì fèn zǐ zhì liàng
molecule	分子	fèn zǐ
relative formula mass	相对式量	xiāng duì shì liàng
mole	摩尔	mó ěr
Avogadro constant	阿伏伽德罗常量	ā fú gā dé luó cháng liàng
ion	离子	lí zi
molar mass	摩尔质量	mó ěr zhì liàng
compound	化合物	huà hé wù
ionic compound	离子化合物	lí zi huà hé wù
oxidation number	氧化数	yǎng huà shù
balanced	配平	pèi píng
state symbols	状态符号	zhuàng tài fú hào
aqueous	水溶液	shuǐ róng yè
ionic equation	离子方程式	lí zi fāng chéng shì
spectator ions	旁观离子	páng guān lí zi
empirical formula	实验式	shí yàn shì
molecular formula	分子式	fēn zǐ shì
water of crystallisation	结晶水	jié jīng shuǐ
hydrated	水合的	shuǐ hé de
anhydrous	无水的	wú shuǐ de
stoichiometry	化学计量	huà xué jì liàng
percentage yield	产率	chǎn lǜ
limiting reagent	限量试剂	xiàn liàng shì jì
excess reagent	过量试剂	guò liàng shì jì
hydrocarbons	碳氢化合物	tàn qīng huà hé wù
concentration	浓度	nóng dù
solute	溶质	róng zhì
solution	溶液	róng yè
titration	滴定	dī dìng
significant figures	有效数字	yǒu xiào shù zì
