english	简体中文	pinyin
balance of payments	国际收支	guó jì shōu zhī
current account	经常账户	jīng cháng zhàng hù
expenditure-reducing	支出减少	zhī chū jiǎn shǎo
expenditure-switching	支出转换	zhī chū zhuǎn huàn
exchange rate	汇率	huì lǜ
depreciation	贬值	biǎn zhí
devaluation	法定贬值	fǎ dìng biǎn zhí
Marshall-Lerner condition	马歇尔勒纳条件	mǎ xiē ěr lēi nà tiáo jiàn
J-curve effect	J曲线效应	J qū xiàn xiào yìng
nominal exchange rate	名义汇率	míng yì huì lǜ
real exchange rate	实际汇率	shí jì huì lǜ
trade-weighted exchange rate	贸易加权汇率	mào yì jiā quán huì lǜ
effective exchange rate	有效汇率	yǒu xiào huì lǜ
floating exchange rate	浮动汇率	fú dòng huì lǜ
fixed exchange rate	固定汇率	gù dìng huì lǜ
managed exchange rate	管理浮动汇率	guǎn lǐ fú dòng huì lǜ
appreciation	升值	shēng zhí
revaluation	法定升值	fǎ dìng shēng zhí
economic growth	经济增长	jīng jì zēng zhǎng
economic development	经济发展	jīng jì fā zhǎn
standard of living	生活水平	shēng huó shuǐ píng
Human Development Index	人类发展指数	rén lèi fā zhǎn zhǐ shù
life expectancy	预期寿命	yù qī shòu mìng
literacy	识字率	shí zì lǜ
developed country	发达国家	fā dá guó jiā
developing country	发展中国家	fā zhǎn zhōng guó jiā
birth rate	出生率	chū shēng lǜ
employment structure	就业结构	jiù yè jié gòu
primary sector	第一产业	dì yī chǎn yè
secondary sector	第二产业	dì èr chǎn yè
tertiary sector	第三产业	dì sān chǎn yè
aid	援助	yuán zhù
debt	债务	zhài wù
foreign direct investment	外国直接投资	wài guó zhí jiē tóu zī
multinational corporation	跨国公司	kuà guó gōng sī
migration	移民	yí mín
remittances	侨汇	qiáo huì
globalisation	全球化	quán qiú huà
free trade	自由贸易	zì yóu mào yì
trade bloc	贸易集团	mào yì jí tuán
protectionism	贸易保护主义	mào yì bǎo hù zhǔ yì
