english	简体中文	pinyin
macroeconomic objectives	宏观经济目标	hóng guān jīng jì mù biāo
economic growth	经济增长	jīng jì zēng zhǎng
price stability	物价稳定	wù jià wěn dìng
inflation	通货膨胀	tōng huò péng zhàng
full employment	充分就业	chōng fèn jiù yè
balance of payments	国际收支	guó jì shōu zhī
fiscal policy	财政政策	cái zhèng zhèng cè
monetary policy	货币政策	huò bì zhèng cè
interest rate	利率	lì lǜ
supply-side policy	供给侧政策	gōng jǐ cè zhèng cè
aggregate demand	总需求	zǒng xū qiú
trade-off	取舍	qǔ shě
conflict	冲突	chōng tū
Phillips curve	菲利普斯曲线	fēi lì pǔ sī qū xiàn
time lags	时滞	shí zhì
national debt	国债	guó zhài
crowding out	挤出效应	jǐ chū xiào yìng
Laffer curve	拉弗曲线	lā fú qū xiàn
tax revenue	税收收入	shuì shōu shōu rù
demand-side policies	需求侧政策	xū qiú cè zhèng cè
