english	简体中文	pinyin
circular flow of income	收入循环流	shōu rù xún huán liú
injections	注入	zhù rù
leakages	漏出	lòu chū
multiplier	乘数	chéng shù
marginal propensity to consume	边际消费倾向	biān jì xiāo fèi qīng xiàng
marginal propensity to save	边际储蓄倾向	biān jì chǔ xù qīng xiàng
marginal propensity to import	边际进口倾向	biān jì jìn kǒu qīng xiàng
accelerator	加速数	jiā sù shù
investment	投资	tóu zī
consumption	消费	xiāo fèi
saving	储蓄	chǔ xù
disposable income	可支配收入	kě zhī pèi shōu rù
economic growth	经济增长	jīng jì zēng zhǎng
actual growth	实际增长	shí jì zēng zhǎng
potential growth	潜在增长	qián zài zēng zhǎng
output gap	产出缺口	chǎn chū quē kǒu
sustainable growth	可持续增长	kě chí xù zēng zhǎng
sustainability	可持续性	kě chí xù xìng
unemployment	失业	shī yè
claimant count	申领救济人数	shēn lǐng jiù jì rén shù
labour force survey	劳动力调查	láo dòng lì diào chá
frictional unemployment	摩擦性失业	mó cā xìng shī yè
structural unemployment	结构性失业	jié gòu xìng shī yè
cyclical unemployment	周期性失业	zhōu qī xìng shī yè
seasonal unemployment	季节性失业	jì jié xìng shī yè
natural rate of unemployment	自然失业率	zì rán shī yè lǜ
Phillips curve	菲利普斯曲线	fēi lì pǔ sī qū xiàn
money	货币	huò bì
medium of exchange	交换媒介	jiāo huàn méi jiè
store of value	价值储藏	jià zhí chǔ cáng
unit of account	记账单位	jì zhàng dān wèi
standard of deferred payment	延期支付标准	yán qī zhī fù biāo zhǔn
central bank	中央银行	zhōng yāng yín háng
lender of last resort	最后贷款人	zuì hòu dài kuǎn rén
commercial bank	商业银行	shāng yè yín háng
liquidity	流动性	liú dòng xìng
demand for money	货币需求	huò bì xū qiú
liquidity preference	流动性偏好	liú dòng xìng piān hǎo
interest rate	利率	lì lǜ
money supply	货币供给	huò bì gōng jǐ
moral hazard	道德风险	dào dé fēng xiǎn
