english	简体中文	pinyin
demand	需求	xū qiú
price	价格	jià gé
quantity demanded	需求量	xū qiú liàng
demand curve	需求曲线	xū qiú qū xiàn
shift	移动	yí dòng
determinants	决定因素	jué dìng yīn sù
income	收入	shōu rù
substitute	替代品	tì dài pǐn
complement	互补品	hù bǔ pǐn
consumer	消费者	xiāo fèi zhě
market demand	市场需求	shì chǎng xū qiú
utility	效用	xiào yòng
marginal utility	边际效用	biān jì xiào yòng
diminishing marginal utility	边际效用递减	biān jì xiào yòng dì jiǎn
supply	供给	gōng jǐ
producer	生产者	shēng chǎn zhě
quantity supplied	供给量	gōng jǐ liàng
profit	利润	lì rùn
supply curve	供给曲线	gōng jǐ qū xiàn
costs of production	生产成本	shēng chǎn chéng běn
subsidy	补贴	bǔ tiē
firm	企业	qǐ yè
market supply	市场供给	shì chǎng gōng jǐ
price elasticity of demand	需求价格弹性	xū qiú jià gé tán xìng
elastic	富有弹性	fù yǒu tán xìng
inelastic	缺乏弹性	quē fá tán xìng
unit elastic	单位弹性	dān wèi tán xìng
perfectly inelastic	完全无弹性	wán quán wú tán xìng
perfectly elastic	完全有弹性	wán quán yǒu tán xìng
necessity	必需品	bì xū pǐn
luxury	奢侈品	shē chǐ pǐn
total revenue	总收益	zǒng shōu yì
government	政府	zhèng fǔ
income elasticity of demand	需求收入弹性	xū qiú shōu rù tán xìng
normal good	正常品	zhèng cháng pǐn
inferior good	低档品	dī dàng pǐn
cross elasticity of demand	需求交叉弹性	xū qiú jiāo chā tán xìng
price elasticity of supply	供给价格弹性	gōng jǐ jià gé tán xìng
spare capacity	闲置产能	xián zhì chǎn néng
stocks	库存	kù cún
momentary	瞬时	shùn shí
short run	短期	duǎn qī
long run	长期	cháng qī
equilibrium	均衡	jūn héng
equilibrium price	均衡价格	jūn héng jià gé
equilibrium quantity	均衡数量	jūn héng shù liàng
disequilibrium	非均衡	fēi jūn héng
excess demand	超额需求	chāo é xū qiú
shortage	短缺	duǎn quē
excess supply	超额供给	chāo é gōng jǐ
product market	产品市场	chǎn pǐn shì chǎng
factor market	要素市场	yào sù shì chǎng
wage	工资	gōng zī
foreign exchange market	外汇市场	wài huì shì chǎng
exchange rate	汇率	huì lǜ
consumer surplus	消费者剩余	xiāo fèi zhě shèng yú
producer surplus	生产者剩余	shēng chǎn zhě shèng yú
welfare	福利	fú lì
