english	简体中文	pinyin
macroeconomics	宏观经济学	hóng guān jīng jì xué
national income	国民收入	guó mín shōu rù
gross domestic product	国内生产总值	guó nèi shēng chǎn zǒng zhí
gross national income	国民总收入	guó mín zǒng shōu rù
nominal	名义	míng yì
real	实际	shí jì
per capita	人均	rén jūn
standard of living	生活水平	shēng huó shuǐ píng
distribution	分配	fēn pèi
informal economy	非正规经济	fēi zhèng guī jīng jì
circular flow of income	收入循环流	shōu rù xún huán liú
household	家庭	jiā tíng
firm	企业	qǐ yè
leakages	漏出	lòu chū
saving	储蓄	chǔ xù
taxation	税收	shuì shōu
imports	进口	jìn kǒu
injections	注入	zhù rù
investment	投资	tóu zī
government spending	政府支出	zhèng fǔ zhī chū
exports	出口	chū kǒu
equilibrium	均衡	jūn héng
closed economy	封闭经济	fēng bì jīng jì
open economy	开放经济	kāi fàng jīng jì
aggregate demand	总需求	zǒng xū qiú
consumption	消费	xiāo fèi
net exports	净出口	jìng chū kǒu
aggregate supply	总供给	zǒng gōng jǐ
short-run aggregate supply	短期总供给	duǎn qī zǒng gōng jǐ
long-run aggregate supply	长期总供给	cháng qī zǒng gōng jǐ
productive capacity	生产能力	shēng chǎn néng lì
macroeconomic equilibrium	宏观经济均衡	hóng guān jīng jì jūn héng
price level	价格水平	jià gé shuǐ píng
real output	实际产出	shí jì chǎn chū
economic growth	经济增长	jīng jì zēng zhǎng
actual growth	实际增长	shí jì zēng zhǎng
potential growth	潜在增长	qián zài zēng zhǎng
productivity	生产率	shēng chǎn lǜ
business cycle	经济周期	jīng jì zhōu qī
boom	繁荣	fán róng
recession	衰退	shuāi tuì
slump	萧条	xiāo tiáo
recovery	复苏	fù sū
unemployment	失业	shī yè
claimant count	申领救济人数	shēn lǐng jiù jì rén shù
labour force survey	劳动力调查	láo dòng lì diào chá
labour force	劳动力	láo dòng lì
frictional unemployment	摩擦性失业	mó cā xìng shī yè
structural unemployment	结构性失业	jié gòu xìng shī yè
cyclical unemployment	周期性失业	zhōu qī xìng shī yè
seasonal unemployment	季节性失业	jì jié xìng shī yè
inflation	通货膨胀	tōng huò péng zhàng
purchasing power	购买力	gòu mǎi lì
deflation	通货紧缩	tōng huò jǐn suō
disinflation	反通货膨胀	fǎn tōng huò péng zhàng
consumer price index	消费者价格指数	xiāo fèi zhě jià gé zhǐ shù
weight	权重	quán zhòng
demand-pull inflation	需求拉动型通货膨胀	xū qiú lā dòng xíng tōng huò péng zhàng
cost-push inflation	成本推动型通货膨胀	chéng běn tuī dòng xíng tōng huò péng zhàng
