english	简体中文	pinyin
international trade	国际贸易	guó jì mào yì
specialise	专业化	zhuān yè huà
absolute advantage	绝对优势	jué duì yōu shì
comparative advantage	比较优势	bǐ jiào yōu shì
opportunity cost	机会成本	jī huì chéng běn
terms of trade	贸易条件	mào yì tiáo jiàn
protectionism	贸易保护主义	mào yì bǎo hù zhǔ yì
tariff	关税	guān shuì
quota	配额	pèi é
subsidy	补贴	bǔ tiē
embargo	禁运	jìn yùn
administrative barriers	行政壁垒	xíng zhèng bì lěi
infant industry	幼稚产业	yòu zhì chǎn yè
dumping	倾销	qīng xiāo
retaliation	报复	bào fù
stakeholder	利益相关者	lì yì xiāng guān zhě
balance of payments	国际收支	guó jì shōu zhī
current account	经常账户	jīng cháng zhàng hù
trade in goods	货物贸易	huò wù mào yì
trade in services	服务贸易	fú wù mào yì
primary income	初次收入	chū cì shōu rù
secondary income	二次收入	èr cì shōu rù
current account deficit	经常账户赤字	jīng cháng zhàng hù chì zì
current account surplus	经常账户盈余	jīng cháng zhàng hù yíng yú
exchange rate	汇率	huì lǜ
floating exchange rate	浮动汇率	fú dòng huì lǜ
fixed exchange rate	固定汇率	gù dìng huì lǜ
managed exchange rate	管理浮动汇率	guǎn lǐ fú dòng huì lǜ
appreciation	升值	shēng zhí
depreciation	贬值	biǎn zhí
expenditure-reducing	支出减少	zhī chū jiǎn shǎo
expenditure-switching	支出转换	zhī chū zhuǎn huàn
competitiveness	竞争力	jìng zhēng lì
