english	简体中文	pinyin
algebra	代数	dài shù
variable	变量	biàn liàng
substitute	代入	dài rù
term	项	xiàng
expression	表达式	biǎo dá shì
like terms	同类项	tóng lèi xiàng
coefficient	系数	xì shù
expand	展开	zhǎn kāi
brackets	括号	kuò hào
factorise	因式分解	yīn shì fēn jiě
common factor	公因式	gōng yīn shì
difference of two squares	平方差	píng fāng chà
perfect square	完全平方	wán quán píng fāng
quadratic	二次	èr cì
completing the square	配方法	pèi fāng fǎ
algebraic fraction	分式	fēn shì
rational expression	有理式	yǒu lǐ shì
indices	指数	zhǐ shù
base	底数	dǐ shù
equation	方程	fāng chéng
linear	一次	yī cì
unknown	未知数	wèi zhī shù
fractional equation	分式方程	fēn shì fāng chéng
simultaneous equations	联立方程	lián lì fāng chéng
quadratic formula	求根公式	qiú gēn gōng shì
change the subject	公式变形	gōng shì biàn xíng
inequality	不等式	bù děng shì
number line	数轴	shù zhóu
region	区域	qū yù
sequence	数列	shù liè
term-to-term rule	递推规则	dì tuī guī zé
cubic	三次	sān cì
exponential sequence	指数数列	zhǐ shù shù liè
direct proportion	正比例	zhèng bǐ lì
constant	常数	cháng shù
inverse proportion	反比例	fǎn bǐ lì
gradient	斜率	xié lǜ
rate of change	变化率	biàn huà lǜ
travel graph	行程图	xíng chéng tú
conversion graph	换算图	huàn suàn tú
acceleration	加速度	jiā sù dù
deceleration	减速度	jiǎn sù dù
area	面积	miàn jī
distance	距离	jù lí
table of values	数值表	shù zhí biǎo
coordinates	坐标	zuò biāo
axis	坐标轴	zuò biāo zhóu
roots	根	gēn
intersection point	交点	jiāo diǎn
exponential growth	指数增长	zhǐ shù zēng zhǎng
exponential decay	指数衰减	zhǐ shù shuāi jiǎn
symmetry	对称	duì chèn
intercept	截距	jié jù
parabola	抛物线	pāo wù xiàn
turning point	转折点	zhuǎn zhé diǎn
asymptote	渐近线	jiàn jìn xiàn
differentiation	微分	wēi fēn
tangent	切线	qiè xiàn
derivative	导数	dǎo shù
stationary point	驻点	zhù diǎn
maximum	最大值	zuì dà zhí
minimum	最小值	zuì xiǎo zhí
function	函数	hán shù
domain	定义域	dìng yì yù
range	值域	zhí yù
inverse function	反函数	fǎn hán shù
composite function	复合函数	fù hé hán shù
