english	简体中文	pinyin
probability	概率	gài lǜ
event	事件	shì jiàn
outcome	结果	jié guǒ
relative frequency	相对频率	xiāng duì pín lǜ
fair	公平	gōng píng
bias	偏倚	piān yǐ
random	随机	suí jī
expected frequency	期望频数	qī wàng pín shuò
combined events	组合事件	zǔ hé shì jiàn
independent events	独立事件	dú lì shì jiàn
mutually exclusive	互斥	hù chì
sample space diagram	样本空间图	yàng běn kōng jiān tú
Venn diagram	维恩图	wéi ēn tú
tree diagram	树状图	shù zhuàng tú
with replacement	有放回	yǒu fàng huí
without replacement	无放回	wú fàng huí
conditional probability	条件概率	tiáo jiàn gài lǜ
