english	简体中文	pinyin
Pythagoras' theorem	勾股定理	gōu gǔ dìng lǐ
right-angled triangle	直角三角形	zhí jiǎo sān jiǎo xíng
triangle	三角形	sān jiǎo xíng
hypotenuse	斜边	xié biān
opposite	对边	duì biān
adjacent	邻边	lín biān
sine	正弦	zhèng xián
cosine	余弦	yú xián
tangent ratio	正切	zhèng qiē
angle of elevation	仰角	yǎng jiǎo
angle of depression	俯角	fǔ jiǎo
perpendicular	垂直	chuí zhí
trigonometric equation	三角方程	sān jiǎo fāng chéng
sine rule	正弦定理	zhèng xián dìng lǐ
cosine rule	余弦定理	yú xián dìng lǐ
ambiguous case	两解情况	liǎng jiě qíng kuàng
plane	平面	píng miàn
