english	简体中文	pinyin
natural number	自然数	zì rán shù
integer	整数	zhěng shù
factor	因数	yīn shù
remainder	余数	yú shù
multiple	倍数	bèi shù
common factor	公因数	gōng yīn shù
common multiple	公倍数	gōng bèi shù
prime number	质数	zhì shù
square number	平方数	píng fāng shù
cube number	立方数	lì fāng shù
rational number	有理数	yǒu lǐ shù
fraction	分数	fēn shù
irrational number	无理数	wú lǐ shù
reciprocal	倒数	dào shǔ
product	乘积	chéng jī
prime factor	质因数	zhì yīn shù
highest common factor	最大公因数	zuì dà gōng yīn shù
lowest common multiple	最小公倍数	zuì xiǎo gōng bèi shù
set	集合	jí hé
element	元素	yuán sù
universal set	全集	quán jí
complement	补集	bǔ jí
empty set	空集	kōng jí
subset	子集	zi jí
union	并集	bìng jí
intersection	交集	jiāo jí
Venn diagram	维恩图	wéi ēn tú
power	幂	mì
index	指数	zhǐ shù
square root	平方根	píng fāng gēn
cube root	立方根	lì fāng gēn
base	底数	dǐ shù
standard form	科学记数法	kē xué jì shù fǎ
surd	根式	gēn shì
rationalise the denominator	分母有理化	fēn mǔ yǒu lǐ huà
denominator	分母	fēn mǔ
numerator	分子	fèn zǐ
proper fraction	真分数	zhēn fēn shù
improper fraction	假分数	jiǎ fēn shù
mixed number	带分数	dài fēn shù
decimal	小数	xiǎo shù
percentage	百分比	bǎi fēn bǐ
simplest form	最简形式	zuì jiǎn xíng shì
recurring decimal	循环小数	xún huán xiǎo shù
order of operations	运算顺序	yùn suàn shùn xù
magnitude	大小	dà xiǎo
multiplier	乘数	chéng shù
interest	利息	lì xī
principal	本金	běn jīn
simple interest	单利	dān lì
compound interest	复利	fù lì
reverse percentage	逆百分比	nì bǎi fēn bǐ
exponential growth	指数增长	zhǐ shù zēng zhǎng
exponential decay	指数衰减	zhǐ shù shuāi jiǎn
depreciation	折旧	zhé jiù
ratio	比	bǐ
proportion	比例	bǐ lì
scale	比例尺	bǐ lì chǐ
rate	比率	bǐ lǜ
average speed	平均速度	píng jūn sù dù
density	密度	mì dù
mass	质量	zhì liàng
volume	体积	tǐ jī
population density	人口密度	rén kǒu mì dù
pressure	压强	yā qiáng
decimal place	小数位	xiǎo shù wèi
significant figure	有效数字	yǒu xiào shù zì
estimate	估算	gū suàn
lower bound	下界	xià jiè
upper bound	上界	shàng jiè
area	面积	miàn jī
time zone	时区	shí qū
exchange rate	汇率	huì lǜ
