english	简体中文	pinyin
number system	数制	shù zhì
denary	十进制	shí jìn zhì
binary	二进制	èr jìn zhì
byte	字节	zì jié
bit	位	wèi
hexadecimal	十六进制	shí liù jìn zhì
digit	数位	shù wèi
place value	位值	wèi zhí
nibble	半字节	bàn zì jié
overflow	溢出	yì chū
register	寄存器	jì cún qì
two's complement	补码	bǔ mǎ
most significant bit	最高有效位	zuì gāo yǒu xiào wèi
sign bit	符号位	fú hào wèi
signed integer	有符号整数	yǒu fú hào zhěng shù
unsigned	无符号	wú fú hào
BCD	二进码十进数	èr jìn mǎ shí jìn shù
7-segment display	七段显示器	qī duàn xiǎn shì qì
memory address	内存地址	nèi cún dì zhǐ
code point	码点	mǎ diǎn
character set	字符集	zì fú jí
encoding	编码	biān mǎ
bitmap	位图	wèi tú
pixel	像素	xiàng sù
resolution	分辨率	fēn biàn lǜ
colour depth	颜色深度	yán sè shēn dù
bit depth	位深度	wèi shēn dù
vector graphic	矢量图形	shǐ liàng tú xíng
primitive	图元	tú yuán
render	渲染	xuàn rǎn
sampling	采样	cǎi yàng
sampling rate	采样率	cǎi yàng lǜ
sample resolution	采样分辨率	cǎi yàng fēn biàn lǜ
amplitude	振幅	zhèn fú
quantisation	量化	liàng huà
compression	压缩	yā suō
bandwidth	带宽	dài kuān
lossless	无损	wú sǔn
lossy	有损	yǒu sǔn
run-length encoding	行程编码	xíng chéng biān mǎ
dictionary methods	字典编码	zì diǎn biān mǎ
Huffman coding	霍夫曼编码	huò fū màn biān mǎ
entropy	熵	shāng
spatial	空间	kōng jiān
temporal	时间	shí jiān
