english	简体中文	pinyin
encryption	加密	jiā mì
plaintext	明文	míng wén
ciphertext	密文	mì wén
decryption	解密	jiě mì
symmetric encryption	对称加密	duì chèn jiā mì
key distribution	密钥分发	mì yào fēn fā
asymmetric encryption	非对称加密	fēi duì chèn jiā mì
public key	公钥	gōng yào
private key	私钥	sī yào
session key	会话密钥	huì huà mì yào
cryptographic hash	密码散列	mì mǎ sàn liè
digest	摘要	zhāi yào
integrity	完整性	wán zhěng xìng
TLS	传输层安全	chuán shū céng ān quán
digital certificate	数字证书	shù zì zhèng shū
Certificate Authority	证书颁发机构	zhèng shū bān fā jī gòu
digital signature	数字签名	shù zì qiān míng
authentication	身份验证	shēn fèn yàn zhèng
man-in-the-middle	中间人攻击	zhōng jiān rén gōng jī
